1,19,Kołobrzeg
2,41,Tczew
3,40,Sanok
4,24,Kłodzko
5,37,Radomsko
6,13,Jaworzno
7,46,Krosno
8,5,Skierniewice
9,3,Ostrowiec Świętokrzyski
10,43,Świecie
11,15,Żory
12,50,Bartoszyce
13,19,Pszczyna
14,6,Kętrzyn
15,15,Rzeszów
16,7,Krotoszyn
17,25,Kłodzko
18,18,Nowy Sącz
19,30,Nowy Targ
20,41,Kościerzyna
21,24,Tomaszów Mazowiecki
22,11,Jaworzno
23,24,Malbork
24,23,Kołobrzeg
25,14,Mielec
26,43,Marki
27,18,Szczytno
28,45,Oława
29,44,Siemianowice Śląskie
30,42,Wągrowiec
31,5,Świętochłowice
32,39,Płońsk
33,41,Łaziska Górne
34,11,Sosnowiec
35,35,Głogów
36,47,Lublin
37,16,Racibórz
38,11,Piaseczno
39,30,Żory
40,25,Kielce
41,18,Gniezno
42,41,Mława
43,45,Jawor
44,36,Racibórz
45,15,Gniezno
46,44,Wyszków
47,21,Olkusz
48,50,Otwock
49,50,Nowy Dwór Mazowiecki
50,4,Knurów
51,15,Koszalin
52,3,Łomża
53,21,Chorzów
54,26,Leszno
55,18,Piastów
56,5,Bielawa
57,14,Iława
58,37,Łomża
59,46,Goleniów
60,21,Śrem
61,14,Chojnice
62,42,Śrem
63,32,Piaseczno
64,26,Skarżysko-Kamienna
65,42,Siemianowice Śląskie
66,30,Chorzów
67,10,Kraśnik
68,17,Brzeg
69,9,Ruda Śląska
70,16,Polkowice
71,48,Częstochowa
72,36,Elbląg
73,35,Grudziądz
74,17,Gorlice
75,48,Słupsk
76,38,Pszczyna
77,28,Świdnik
78,38,Giżycko
79,26,Kielce
80,24,Kutno
81,15,Kołobrzeg
82,9,Giżycko
83,33,Żary
84,32,Police
85,6,Przemyśl
86,49,Zgorzelec
87,4,Łódź
88,8,Pszczyna
89,10,Kościan
90,41,Płock
91,11,Pszczyna
92,44,Iława
93,28,Ostrów Mazowiecka
94,39,Żory
95,5,Płońsk
96,25,Nowy Dwór Mazowiecki
97,25,Puławy
98,39,Elbląg
99,30,Pruszków
100,34,Oświęcim
101,17,Słupsk
102,36,Sanok
103,1,Warszawa
104,44,Kościan
105,47,Kościan
106,8,Łomża
107,44,Jasło
108,35,Zambrów
109,49,Konin
110,18,Cieszyn
111,50,Gorzów Wielkopolski
112,42,Gorlice
113,22,Będzin
114,8,Marki
115,19,Cieszyn
116,28,Krotoszyn
117,11,Piła
118,30,Grudziądz
119,1,Rumia
120,47,Zambrów
121,47,Jaworzno
122,17,Czeladź
123,33,Środa Wielkopolska
124,49,Police
125,12,Warszawa
126,33,Grodzisk Mazowiecki
127,7,Ostrołęka
128,41,Oleśnica
129,20,Poznań
130,41,Elbląg
131,33,Skarżysko-Kamienna
132,39,Zgierz
133,13,Zamość
134,10,Sosnowiec
135,24,Zamość
136,49,Mława
137,11,Bytom
138,35,Olsztyn
139,50,Nowa Ruda
140,34,Wołomin
141,1,Gliwice
142,39,Lubartów
143,21,Nowy Targ
144,32,Płońsk
145,2,Zielona Góra
146,8,Zielona Góra
147,24,Biłgoraj
148,20,Chrzanów
149,16,Żywiec
150,4,Jastrzębie-Zdrój
151,16,Łomża
152,37,Police
153,6,Krotoszyn
154,6,Świdnik
155,47,Gniezno
156,32,Czeladź
157,5,Polkowice
158,49,Kościerzyna
159,35,Szczytno
160,50,Lubin
161,9,Skawina
162,9,Piekary Śląskie
163,43,Piaseczno
164,31,Świecie
165,36,Zakopane
166,11,Rumia
167,17,Bolesławiec
168,34,Czechowice-Dziedzice
169,39,Jarosław
170,28,Opole
171,14,Leszno
172,35,Suwałki
173,49,Kielce
174,47,Wejherowo
175,45,Gdańsk
176,13,Bochnia
177,46,Zgorzelec
178,20,Głogów
179,26,Bochnia
180,43,Siemianowice Śląskie
181,42,Kraków
182,24,Rzeszów
183,29,Lubliniec
184,34,Czerwionka-Leszczyny
185,29,Toruń
186,8,Głogów
187,16,Gliwice
188,15,Lublin
189,5,Starachowice
190,22,Rzeszów
191,2,Lębork
192,38,Chełm
193,36,Tczew
194,15,Świecie
195,38,Wołomin
196,15,Gniezno
197,1,Czeladź
198,5,Włocławek
199,46,Wieluń
200,41,Ząbki
