1,24,1,14,2,125,4,JOP 603RN,TE242044820700159,2022,104975,3145,155
2,26,3,11,4,171,2,LVV 23CM,LV198189847139155,2018,133820,3592,191
3,34,5,7,6,180,2,ZXX 32HN,BE123476490785158,2019,26949,1598,337
4,13,2,20,3,39,2,HIZ EL75,YA409003486451837,2024,129529,2899,534
5,44,5,20,6,162,2,IJC 43YH,GE275604177656124,2021,17900,2919,527
6,41,3,9,10,29,3,NTX R570,TX027206345911238,2022,19448,2270,547
7,29,1,2,6,147,1,UYE 657TV,OB724295431652669,2023,23670,3518,594
8,25,4,19,9,22,4,RU 93173,TH420696942152910,2024,149856,3668,267
9,21,5,16,9,78,1,YOV 33PD,YJ344762639343626,2021,27132,4320,426
10,46,1,17,3,21,2,JI 39735,JD971072563669411,2023,114755,2798,237
11,24,3,10,7,210,3,KH 75990,GF048964652809242,2023,13727,4231,417
12,5,3,4,9,198,3,OEC K862,BK415027456449485,2020,39419,2364,158
13,38,6,5,6,159,4,XPY E870,WT320320742761707,2019,22208,2267,460
14,42,3,5,9,48,4,POP 21D5,AE134228499390892,2022,94851,1073,446
15,20,2,7,6,249,2,YP 1V504,VC165915201777490,2019,36061,1633,154
16,19,1,17,9,20,3,TOK XX92,FB304501896164236,2024,34353,3445,460
17,10,2,6,10,85,4,GFM 421YM,RK476492515837767,2018,107704,2491,318
18,29,5,10,8,120,2,NCY 5NZ9,DB266108573278814,2020,122949,4419,273
19,24,6,19,8,237,3,ZP 2243J,QU864908108186617,2024,100105,3058,503
20,11,2,20,3,129,1,ILI 8SC0,VZ172260164597794,2023,125983,2519,180
21,46,5,4,5,43,2,GF 941CX,NX680061027769749,2020,117786,3101,225
22,28,1,8,8,179,1,VWV 64122,XD031030372368314,2021,13960,2622,589
23,24,2,13,2,192,2,PN 227AD,AF770793349605016,2018,83541,1404,418
24,10,2,2,5,242,2,STX 84076,PA789973080695814,2024,122974,2836,80
25,6,1,9,4,77,4,DPT 5U76,SU024375738395972,2018,75524,1972,383
26,8,1,8,7,235,1,MNV 57293,JD417223297167433,2018,131027,3443,91
27,41,5,19,4,74,3,LI 52280,RJ156193183745508,2021,410,3517,436
28,16,5,14,3,44,3,WQT 077VD,TC119918081213524,2018,137903,3227,594
29,33,5,1,7,241,1,QPX 2552D,XO137603754821456,2023,101418,2528,334
30,48,1,12,2,177,2,HEY YQ63,UZ266678507208115,2023,27174,4159,415
31,9,1,12,9,174,2,FNB 0290M,PN846684550489267,2024,121798,3847,565
32,41,2,5,2,235,1,TZT 75U6,TH341085628843188,2020,52845,1178,279
33,3,3,10,9,204,4,YUF A089,TK434681054851017,2020,9599,4084,270
34,19,3,2,6,140,1,AOK 39989,DG354492683158935,2024,96474,2788,484
35,48,4,13,6,96,4,WN 106NC,OB273715869886497,2023,130422,2503,348
36,6,6,14,2,221,2,WPX 2N28,MA277288137702851,2022,77009,2314,180
37,6,3,10,5,229,4,DL 4082S,NL154544702296044,2019,116367,2438,532
38,3,6,12,10,223,3,XPA 510DR,QC679497567922877,2023,15036,1306,490
39,24,5,6,1,74,4,XK 996CZ,PJ636580741209481,2018,33090,1274,316
40,50,6,12,6,197,1,GT 9098R,MU378018204339718,2022,40222,3780,535
41,24,3,15,2,71,3,SBP 62AK,XF608564111824224,2021,82414,3659,360
42,16,1,1,3,256,4,JN 095VF,PW200461526546103,2022,30870,2071,341
43,46,4,7,10,147,4,SHP 8QY6,LR140578617063048,2019,32148,1554,150
44,29,2,15,2,164,3,HY 2496R,DN718325823868700,2023,17023,3251,372
45,20,2,6,6,115,1,UF 7AB49,SH465398402891416,2019,36405,1968,580
46,2,3,18,10,189,4,EXR 398IN,ME554743553795020,2024,144610,1530,163
47,5,3,13,8,211,4,AV 26876,DX811807156956201,2024,19333,1512,399
48,42,1,15,8,177,2,OA 0H453,HR194337504793036,2024,144520,3619,261
49,50,2,14,9,29,1,QPF 9RG9,NQ921921249384308,2022,40112,2244,243
50,11,3,8,6,146,1,ROA NU05,CU664187758030468,2020,51459,3600,356
51,9,6,10,10,48,2,MG 51903,QP613325411076095,2022,40421,1700,420
52,37,1,1,2,24,3,PH 0583K,DZ199717911006512,2023,55262,4140,501
53,40,6,1,8,149,3,BJT 6U11,DY080466196399076,2021,64193,4295,490
54,20,4,3,1,81,4,TTD 07KU,WA859311091939284,2021,126943,2901,283
55,22,5,5,6,164,3,XTO 3F20,VS024968549822749,2021,34279,4114,454
56,33,5,4,6,124,4,AQS V203,LK880653331537795,2018,70116,2840,328
57,10,1,2,5,197,4,TJN K217,LA073033793375636,2019,41864,4331,410
58,37,6,11,4,82,4,ACL A812,JP473950033423425,2022,122372,3041,390
59,32,1,3,7,259,4,GA 102FI,JI615347355289611,2019,56398,3388,436
60,4,1,10,8,241,3,GGR 5596M,FN309938425304289,2022,2143,4469,185
61,28,2,9,6,207,3,CZP 91286,OY857872558777496,2018,105010,1208,274
62,24,5,10,2,198,4,UBG 7HG3,HW634669254812147,2024,144141,2144,196
63,9,1,13,6,174,3,SB 8O956,WF776657546027341,2024,37818,1814,596
64,26,5,2,1,20,2,QQ 1RU43,IW111508353544439,2023,87304,4292,560
65,34,4,5,10,72,3,XRI 04456,WD690782633373898,2022,83500,1664,477
66,40,6,10,10,173,4,OKZ 15366,AB377805292407553,2023,147567,2226,561
67,2,3,11,2,214,3,YMY YW84,ZE590902259999663,2024,6985,3443,560
68,17,6,19,10,117,1,MGP 59D7,NO412182097023164,2022,125946,1697,464
69,10,6,8,1,57,2,VQ 0CO58,NT025662128671632,2018,115615,2283,503
70,10,4,7,7,257,4,WVP 94FT,KF938743027169385,2024,16326,3889,216
