1,Bialy
2,Czarny
3,Srebrny
4,Grafitowy
5,Niebieski
6,Granatowy
7,Czerwony
8,Bordowy
9,Zielony
10,Oliwkowy
11,Brazowy
12,Bezowy
13,Zolty
14,Pomaranczowy
15,Fioletowy
16,Turkusowy
17,Szary
18,Bialy Metalic 18
19,Czarny Metalic 19
20,Srebrny Metalic 20
21,Grafitowy Metalic 21
22,Niebieski Metalic 22
23,Granatowy Metalic 23
24,Czerwony Metalic 24
25,Bordowy Metalic 25
26,Zielony Metalic 26
27,Oliwkowy Metalic 27
28,Brazowy Metalic 28
29,Bezowy Metalic 29
30,Zolty Metalic 30
31,Pomaranczowy Metalic 31
32,Fioletowy Metalic 32
33,Turkusowy Metalic 33
34,Szary Metalic 34
35,Bialy Metalic 35
36,Czarny Metalic 36
37,Srebrny Metalic 37
38,Grafitowy Metalic 38
39,Niebieski Metalic 39
40,Granatowy Metalic 40
41,Czerwony Metalic 41
42,Bordowy Metalic 42
43,Zielony Metalic 43
44,Oliwkowy Metalic 44
45,Brazowy Metalic 45
46,Bezowy Metalic 46
47,Zolty Metalic 47
48,Pomaranczowy Metalic 48
49,Fioletowy Metalic 49
50,Turkusowy Metalic 50
