1,1,1,1,1,1,1,KR00001,ZTB00000000000001,2011,5131,1010,71
2,2,2,2,2,2,2,WA00002,ZTB00000000000002,2012,5262,1021,72
3,3,3,3,3,3,3,GD00003,ZTB00000000000003,2013,5393,1032,73
4,4,4,4,4,4,4,PO00004,ZTB00000000000004,2014,5524,1043,74
5,5,5,5,5,5,5,WR00005,ZTB00000000000005,2015,5655,1054,75
6,6,6,6,6,6,6,LU00006,ZTB00000000000006,2016,5786,1065,76
7,7,7,7,7,7,1,BI00007,ZTB00000000000007,2017,5917,1076,77
8,8,8,8,8,8,2,RZ00008,ZTB00000000000008,2018,6048,1087,78
9,9,9,9,9,9,3,SC00009,ZTB00000000000009,2019,6179,1098,79
10,10,10,10,10,10,4,OP00010,ZTB00000000000010,2020,6310,1109,80
11,11,1,11,11,11,5,KR00011,ZTB00000000000011,2021,6441,1120,81
12,12,2,12,12,12,6,WA00012,ZTB00000000000012,2022,6572,1131,82
13,13,3,13,13,13,1,GD00013,ZTB00000000000013,2023,6703,1142,83
14,14,4,14,14,14,2,PO00014,ZTB00000000000014,2024,6834,1153,84
15,15,5,15,15,15,3,WR00015,ZTB00000000000015,2025,6965,1164,85
16,16,6,16,16,16,4,LU00016,ZTB00000000000016,2010,7096,1175,86
17,17,7,17,17,17,5,BI00017,ZTB00000000000017,2011,7227,1186,87
18,18,8,18,18,18,6,RZ00018,ZTB00000000000018,2012,7358,1197,88
19,19,9,19,19,19,1,SC00019,ZTB00000000000019,2013,7489,1208,89
20,20,10,20,20,20,2,OP00020,ZTB00000000000020,2014,7620,1219,90
21,21,1,21,21,21,3,KR00021,ZTB00000000000021,2015,7751,1230,91
22,22,2,22,22,22,4,WA00022,ZTB00000000000022,2016,7882,1241,92
23,23,3,23,23,23,5,GD00023,ZTB00000000000023,2017,8013,1252,93
24,24,4,24,24,24,6,PO00024,ZTB00000000000024,2018,8144,1263,94
25,25,5,25,25,25,1,WR00025,ZTB00000000000025,2019,8275,1274,95
26,26,6,26,26,26,2,LU00026,ZTB00000000000026,2020,8406,1285,96
27,27,7,27,27,27,3,BI00027,ZTB00000000000027,2021,8537,1296,97
28,28,8,28,28,28,4,RZ00028,ZTB00000000000028,2022,8668,1307,98
29,29,9,29,29,29,5,SC00029,ZTB00000000000029,2023,8799,1318,99
30,30,10,30,30,30,6,OP00030,ZTB00000000000030,2024,8930,1329,100
31,31,1,31,1,31,1,KR00031,ZTB00000000000031,2025,9061,1340,101
32,32,2,32,2,32,2,WA00032,ZTB00000000000032,2010,9192,1351,102
33,33,3,33,3,33,3,GD00033,ZTB00000000000033,2011,9323,1362,103
34,34,4,34,4,34,4,PO00034,ZTB00000000000034,2012,9454,1373,104
35,35,5,35,5,35,5,WR00035,ZTB00000000000035,2013,9585,1384,105
36,36,6,36,6,36,6,LU00036,ZTB00000000000036,2014,9716,1395,106
37,37,7,37,7,37,1,BI00037,ZTB00000000000037,2015,9847,1406,107
38,38,8,38,8,38,2,RZ00038,ZTB00000000000038,2016,9978,1417,108
39,39,9,39,9,39,3,SC00039,ZTB00000000000039,2017,10109,1428,109
40,40,10,40,10,40,4,OP00040,ZTB00000000000040,2018,10240,1439,110
41,41,1,41,11,41,5,KR00041,ZTB00000000000041,2019,10371,1450,111
42,42,2,42,12,42,6,WA00042,ZTB00000000000042,2020,10502,1461,112
43,43,3,43,13,43,1,GD00043,ZTB00000000000043,2021,10633,1472,113
44,44,4,44,14,44,2,PO00044,ZTB00000000000044,2022,10764,1483,114
45,45,5,45,15,45,3,WR00045,ZTB00000000000045,2023,10895,1494,115
46,46,6,46,16,46,4,LU00046,ZTB00000000000046,2024,11026,1505,116
47,47,7,47,17,47,5,BI00047,ZTB00000000000047,2025,11157,1516,117
48,48,8,48,18,48,6,RZ00048,ZTB00000000000048,2010,11288,1527,118
49,49,9,49,19,49,1,SC00049,ZTB00000000000049,2011,11419,1538,119
50,50,10,50,20,50,2,OP00050,ZTB00000000000050,2012,11550,1549,120
51,51,1,1,21,51,3,KR00051,ZTB00000000000051,2013,11681,1560,121
52,52,2,2,22,52,4,WA00052,ZTB00000000000052,2014,11812,1571,122
53,53,3,3,23,53,5,GD00053,ZTB00000000000053,2015,11943,1582,123
54,54,4,4,24,54,6,PO00054,ZTB00000000000054,2016,12074,1593,124
55,55,5,5,25,55,1,WR00055,ZTB00000000000055,2017,12205,1604,125
56,56,6,6,26,56,2,LU00056,ZTB00000000000056,2018,12336,1615,126
57,57,7,7,27,57,3,BI00057,ZTB00000000000057,2019,12467,1626,127
58,58,8,8,28,58,4,RZ00058,ZTB00000000000058,2020,12598,1637,128
59,59,9,9,29,59,5,SC00059,ZTB00000000000059,2021,12729,1648,129
60,60,10,10,30,60,6,OP00060,ZTB00000000000060,2022,12860,1659,130
61,61,1,11,1,61,1,KR00061,ZTB00000000000061,2023,12991,1670,131
62,62,2,12,2,62,2,WA00062,ZTB00000000000062,2024,13122,1681,132
63,63,3,13,3,63,3,GD00063,ZTB00000000000063,2025,13253,1692,133
64,64,4,14,4,64,4,PO00064,ZTB00000000000064,2010,13384,1703,134
65,65,5,15,5,65,5,WR00065,ZTB00000000000065,2011,13515,1714,135
66,66,6,16,6,66,6,LU00066,ZTB00000000000066,2012,13646,1725,136
67,67,7,17,7,67,1,BI00067,ZTB00000000000067,2013,13777,1736,137
68,68,8,18,8,68,2,RZ00068,ZTB00000000000068,2014,13908,1747,138
69,69,9,19,9,69,3,SC00069,ZTB00000000000069,2015,14039,1758,139
70,70,10,20,10,70,4,OP00070,ZTB00000000000070,2016,14170,1769,140
71,71,1,21,11,71,5,KR00071,ZTB00000000000071,2017,14301,1780,141
72,72,2,22,12,72,6,WA00072,ZTB00000000000072,2018,14432,1791,142
73,73,3,23,13,73,1,GD00073,ZTB00000000000073,2019,14563,1802,143
74,74,4,24,14,74,2,PO00074,ZTB00000000000074,2020,14694,1813,144
75,75,5,25,15,75,3,WR00075,ZTB00000000000075,2021,14825,1824,145
76,76,6,26,16,76,4,LU00076,ZTB00000000000076,2022,14956,1835,146
77,77,7,27,17,77,5,BI00077,ZTB00000000000077,2023,15087,1846,147
78,78,8,28,18,78,6,RZ00078,ZTB00000000000078,2024,15218,1857,148
79,79,9,29,19,79,1,SC00079,ZTB00000000000079,2025,15349,1868,149
80,80,10,30,20,80,2,OP00080,ZTB00000000000080,2010,15480,1879,150
81,81,1,31,21,81,3,KR00081,ZTB00000000000081,2011,15611,1890,151
