1,Oddzial Warszawa,500000001,oddzial1@ztb-rental.pl,08:00-18:00,2,1,07-019
2,Oddzial Krakow,500000002,oddzial2@ztb-rental.pl,08:00-18:00,3,2,14-038
3,Oddzial Wroclaw,500000003,oddzial3@ztb-rental.pl,08:00-18:00,4,3,21-057
4,Oddzial Poznan,500000004,oddzial4@ztb-rental.pl,08:00-18:00,5,4,28-076
5,Oddzial Gdansk,500000005,oddzial5@ztb-rental.pl,08:00-18:00,6,5,35-095
6,Oddzial Lodz,500000006,oddzial6@ztb-rental.pl,08:00-18:00,7,6,42-114
7,Oddzial Szczecin,500000007,oddzial7@ztb-rental.pl,08:00-18:00,8,7,49-133
8,Oddzial Lublin,500000008,oddzial8@ztb-rental.pl,08:00-18:00,9,8,56-152
9,Oddzial Bydgoszcz,500000009,oddzial9@ztb-rental.pl,08:00-18:00,10,9,63-171
10,Oddzial Katowice,500000010,oddzial10@ztb-rental.pl,08:00-18:00,11,10,70-190
11,Oddzial Bialystok,500000011,oddzial11@ztb-rental.pl,08:00-18:00,12,11,77-209
12,Oddzial Rzeszow,500000012,oddzial12@ztb-rental.pl,08:00-18:00,13,12,84-228
13,Oddzial Olsztyn,500000013,oddzial13@ztb-rental.pl,08:00-18:00,14,13,91-247
14,Oddzial Opole,500000014,oddzial14@ztb-rental.pl,08:00-18:00,15,14,98-266
15,Oddzial Kielce,500000015,oddzial15@ztb-rental.pl,08:00-18:00,16,15,05-285
16,Oddzial Torun,500000016,oddzial16@ztb-rental.pl,08:00-18:00,17,16,12-304
17,Oddzial Gliwice,500000017,oddzial17@ztb-rental.pl,08:00-18:00,18,17,19-323
18,Oddzial Zielona Gora,500000018,oddzial18@ztb-rental.pl,08:00-18:00,19,18,26-342
19,Oddzial Plock,500000019,oddzial19@ztb-rental.pl,08:00-18:00,20,19,33-361
20,Oddzial Radom,500000020,oddzial20@ztb-rental.pl,08:00-18:00,21,20,40-380
21,Oddzial Monachium,500000021,oddzial21@ztb-rental.pl,08:00-18:00,22,21,47-399
